time,on,off,diff
42.57591,1802,2019,-217
42.71548,1816,2018,-202
42.8728,1847,2015,-168
43.02039,1888,2011,-123
43.17698,1941,2005,-64
43.33457,2000,1999,1
43.49045,2058,1994,64
43.64775,2111,1988,123
43.80423,2155,1984,171
43.9623,2185,1981,204
44.1134,2198,1980,218
44.27055,2196,1980,216
44.42763,2176,1982,194
44.58511,2140,1985,155
44.7455,2092,1990,102
44.90502,2035,1996,39
45.05306,1980,2001,-21
45.20823,1923,2007,-84
45.36667,1872,2012,-140
45.52458,1832,2016,-184
45.68337,1807,2019,-212
45.84204,1800,2019,-219
45.99553,1809,2019,-210
46.15175,1834,2016,-182
46.30804,1874,2012,-138
46.46422,1925,2007,-82
46.62501,1984,2001,-17
46.78469,2044,1995,49
46.94957,2101,1989,112
47.09975,2145,1985,160
47.25712,2179,1982,197
47.4157,2197,1980,217
47.57451,2198,1980,218
47.73236,2181,1981,200
47.89059,2148,1985,163
48.04026,2104,1989,115
48.19656,2050,1994,56
48.35604,1991,2000,-9
48.51519,1932,2006,-74
48.67337,1880,2011,-131
48.83008,1838,2016,-178
48.9899,1810,2018,-208
49.14155,1800,2019,-219
49.29979,1806,2019,-213
49.45834,1829,2017,-188
49.61498,1867,2013,-146
49.77302,1917,2008,-91
49.94156,1978,2002,-24
50.08965,2033,1996,37
50.2452,2089,1991,98
50.40175,2137,1986,151
50.5583,2173,1982,191
50.71739,2195,1980,215
50.87229,2199,1980,219
51.02439,2187,1981,206
51.175,2159,1984,175
51.32903,2118,1988,130
51.48673,2066,1993,73
51.64312,2008,1999,9
51.80174,1949,2005,-56
51.95927,1895,2010,-115
52.11497,1850,2014,-164
52.27025,1818,2018,-200
52.42461,1802,2019,-217
52.5781,1802,2019,-217
52.72923,1818,2018,-200
52.87724,1848,2015,-167
53.02495,1890,2010,-120
53.18618,1945,2005,-60
53.34031,2002,1999,3
53.49739,2060,1993,67
53.65024,2112,1988,124
53.80622,2155,1984,171
53.96536,2185,1981,204
54.11408,2199,1980,219
54.271,2196,1980,216
54.42906,2176,1982,194
54.58692,2140,1985,155
54.73886,2094,1990,104
54.8892,2041,1995,46
55.03843,1985,2001,-16
55.19174,1929,2007,-78
55.34402,1879,2012,-133
55.49405,1839,2016,-177
55.65002,1811,2018,-207
55.8018,1800,2019,-219
55.95542,1805,2019,-214
56.1057,1825,2017,-192
56.25858,1860,2013,-153
56.41384,1908,2009,-101
56.56935,1963,2003,-40
56.72183,2020,1997,23
56.87413,2076,1992,84
57.02819,2125,1987,138
57.17976,2164,1983,181
57.33237,2190,1980,210
57.48972,2199,1980,219
57.64537,2192,1980,212
57.79772,2169,1983,186
57.95037,2132,1986,146
58.09813,2085,1991,94
58.25285,2030,1996,34
58.40576,1972,2002,-30
58.55937,1917,2008,-91
58.7109,1869,2013,-144
58.86695,1831,2016,-185
59.02482,1807,2019,-212
59.17878,1800,2019,-219
59.33774,1810,2018,-208
59.49892,1837,2016,-179
59.65859,1879,2012,-133
59.81605,1932,2006,-74
59.97201,1989,2001,-12
60.12767,2047,1995,52
60.28036,2100,1989,111
60.43001,2144,1985,159
60.58422,2178,1982,196
60.74261,2197,1980,217
60.90074,2198,1980,218
61.05318,2183,1981,202
61.20373,2153,1984,169
61.35668,2110,1988,122
61.51114,2057,1994,63
61.66337,2001,1999,2
61.8164,1944,2005,-61
61.97152,1891,2010,-119
62.12047,1849,2015,-166
62.27692,1817,2018,-201
62.42728,1801,2019,-218
62.58002,1802,2019,-217
62.7406,1820,2017,-197
62.90021,1854,2014,-160
63.05196,1898,2010,-112
63.20283,1951,2004,-53
63.36,2010,1998,12
63.51714,2067,1993,74
63.66844,2118,1988,130
63.82488,2159,1984,175
63.97993,2187,1981,206
64.12893,2199,1980,219
64.28379,2195,1980,215
64.43703,2174,1982,192
64.58954,2139,1986,153
64.74126,2093,1990,103
64.89253,2040,1995,45
65.04398,1983,2001,-18
65.19257,1928,2007,-79
65.3478,1878,2012,-134
65.50438,1837,2016,-179
65.65922,1810,2018,-208
65.81858,1800,2019,-219
65.97292,1806,2019,-213
66.12738,1829,2017,-188
66.27847,1866,2013,-147
66.42871,1913,2008,-95
66.57951,1967,2003,-36
66.73736,2026,1997,29
66.89493,2083,1991,92
67.04852,2131,1986,145
67.19932,2168,1983,185
0.0,2000,1999,1
0.0,2000,1999,1
0.0,2000,1999,1
0.31941,2113,1988,125
0.42038,2142,1985,157
0.5236,2166,1983,183
0.62441,2184,1981,203
0.72517,2195,1980,215
0.8256,2199,1980,219
0.92609,2196,1980,216
1.02806,2186,1981,205
1.12988,2169,1983,186
1.23102,2146,1985,161
1.33134,2118,1988,130
1.43237,2085,1991,94
1.53287,2049,1995,54
1.63805,2010,1998,12
1.73894,1972,2002,-30
1.84003,1935,2006,-71
1.94043,1901,2009,-108
2.0408,1870,2012,-142
2.14104,1844,2015,-171
2.24316,1822,2017,-195
2.34375,1808,2019,-211
2.44436,1801,2019,-218
2.54505,1800,2019,-219
2.64758,1807,2019,-212
2.74861,1821,2017,-196
2.85449,1843,2015,-172
2.95474,1869,2013,-144
3.05593,1900,2009,-109
3.15697,1934,2006,-72
3.25727,1971,2002,-31
3.35811,2009,1999,10
3.46499,2049,1995,54
3.56579,2084,1991,93
3.66806,2117,1988,129
3.76837,2146,1985,161
3.8751,2170,1982,188
3.97539,2187,1981,206
4.07595,2197,1980,217
4.17625,2199,1980,219
4.27664,2195,1980,215
4.38117,2183,1981,202
0.0,2000,1999,1
0.3368,2118,1988,130
0.43779,2146,1985,161
0.54397,2170,1982,188
0.64428,2187,1981,206
0.74922,2197,1980,217
0.84977,2199,1980,219
0.95005,2195,1980,215
1.05106,2183,1981,202
1.15135,2165,1983,182
1.25232,2140,1985,155
1.35261,2111,1988,123
1.45812,2076,1992,84
1.5592,2040,1995,45
1.65948,2002,1999,3
1.7605,1964,2003,-39
1.86281,1927,2007,-80
1.9634,1893,2010,-117
2.06405,1863,2013,-150
2.1647,1838,2016,-178
2.27158,1818,2018,-200
2.37243,1805,2019,-214
2.47341,1800,2019,-219
2.57448,1801,2019,-218
2.67491,1810,2018,-208
2.77594,1826,2017,-191
2.87644,1848,2015,-167
2.97692,1875,2012,-137
3.07742,1907,2009,-102
3.18305,1944,2005,-61
3.28407,1981,2001,-20
3.38432,2019,1998,21
3.48524,2056,1994,62
3.58554,2091,1990,101
3.68629,2123,1987,136
3.79009,2151,1984,167
3.89125,2173,1982,191
3.99494,2189,1981,208
4.0962,2198,1980,218
4.19773,2199,1980,219
4.29867,2193,1980,213
4.40304,2180,1981,199
4.50392,2160,1983,177
4.60738,2134,1986,148
4.70801,2104,1989,115
4.8087,2070,1992,78
4.90939,2033,1996,37
5.01319,1995,2000,-5
5.11412,1957,2004,-47
5.21896,1919,2008,-89
5.31979,1886,2011,-125
5.42081,1857,2014,-157
5.52372,1833,2016,-183
5.62465,1815,2018,-203
5.72964,1803,2019,-216
5.83056,1800,2019,-219
5.93506,1803,2019,-216
6.03583,1814,2018,-204
6.13673,1831,2016,-185
6.241,1856,2014,-158
6.34127,1884,2011,-127
6.44194,1917,2008,-91
6.54271,1953,2004,-51
6.64897,1993,2000,-7
6.74966,2031,1996,35
6.85636,2070,1992,78
6.95718,2104,1989,115
7.05818,2134,1986,148
7.1593,2160,1983,177
7.26358,2180,1981,199
7.36495,2193,1980,213
7.46539,2199,1980,219
7.56667,2198,1980,218
7.66716,2190,1980,210
7.77393,2173,1982,191
7.87532,2152,1984,168
7.97603,2124,1987,137
8.0825,2091,1990,101
8.18344,2055,1994,61
8.28555,2017,1998,19
8.3865,1979,2002,-23
8.49089,1941,2005,-64
8.59161,1906,2009,-103
8.69843,1872,2012,-140
8.79899,1846,2015,-169
8.90012,1824,2017,-193
9.00442,1809,2019,-210
9.10552,1801,2019,-218
9.20645,1800,2019,-219
9.30675,1806,2019,-213
9.40736,1820,2017,-197
9.50818,1840,2015,-175
9.60922,1865,2013,-148
9.71342,1897,2010,-113
9.81384,1931,2006,-75
9.9147,1967,2003,-36
10.02209,2008,1999,9
10.12327,2046,1995,51
10.22521,2082,1991,91
10.3263,2115,1988,127
10.43134,2145,1985,160
10.53207,2168,1983,185
10.63914,2186,1981,205
10.73975,2196,1980,216
10.84064,2199,1980,219
10.94737,2195,1980,215
11.04802,2183,1981,202
11.14929,2165,1983,182
11.25073,2141,1985,156
11.3517,2111,1988,123
11.45734,2076,1992,84
11.55799,2040,1995,45
11.6593,2002,1999,3
11.76117,1964,2003,-39
11.86228,1927,2007,-80
11.96675,1892,2010,-118
12.06766,1862,2013,-151
12.17424,1836,2016,-180
12.27486,1817,2018,-201
12.37537,1805,2019,-214
12.47592,1800,2019,-219
12.57722,1802,2019,-217
12.68147,1811,2018,-207
12.78209,1827,2017,-190
12.88344,1850,2014,-164
12.98778,1878,2012,-134
13.08956,1911,2008,-97
13.18991,1946,2005,-59
13.29028,1983,2001,-18
13.39065,2021,1997,24
13.49109,2058,1994,64
13.59163,2093,1990,103
13.69243,2125,1987,138
13.79971,2154,1984,170
13.9006,2175,1982,193
14.00196,2190,1980,210
14.10255,2198,1980,218
14.20319,2199,1980,219
14.30434,2193,1980,213
14.40554,2180,1981,199
14.51111,2159,1984,175
14.61245,2133,1986,147
14.71305,2102,1989,113
14.81692,2067,1993,74
14.9228,2028,1997,31
15.02511,1990,2000,-10
15.12567,1953,2004,-51
15.22683,1917,2008,-91
15.33355,1882,2011,-129
15.43405,1854,2014,-160
15.53466,1830,2016,-186
15.63526,1813,2018,-205
15.73627,1803,2019,-216
15.83713,1800,2019,-219
15.93838,1803,2019,-216
16.03959,1814,2018,-204
16.14178,1832,2016,-184
16.24256,1856,2014,-158
16.34314,1885,2011,-126
16.44436,1918,2008,-90
16.55073,1956,2004,-48
0.0,2000,1999,1
0.32324,2114,1988,126
0.42396,2143,1985,158
0.52741,2167,1983,184
0.62836,2185,1981,204
0.7291,2196,1980,216
0.8302,2199,1980,219
0.9305,2196,1980,216
1.03097,2186,1981,205
1.13501,2168,1983,185
1.2361,2145,1985,160
1.33637,2116,1988,128
1.44212,2082,1991,91
1.54324,2046,1995,51
1.64354,2008,1999,9
1.74404,1970,2002,-32
1.84434,1934,2006,-72
1.94513,1899,2010,-111
2.05148,1867,2013,-146
2.15185,1841,2015,-174
2.25264,1821,2017,-196
2.3568,1807,2019,-212
2.45735,1800,2019,-219
2.55844,1801,2019,-218
2.65883,1808,2019,-211
2.76535,1824,2017,-193
2.86574,1845,2015,-170
